fyear,tic,ACT,AT,C&E,COGS,SHARE,TD,IB,CL,NI,CFO,REVT
2016,AXTI,107.286,154.246,47.567,50.103,33.032,0,5.636,13.05,5.636,12.504,81.349
2017,AXTI,140.521,211.2,64.384,59.776,39.413,0,10.148,22.594,10.148,8.615,98.673
2000,ULTI,27.422,34.44,7.572,22.264,16.046,2.96,-8.404,19.239,-8.404,1.707,60.03
2001,ULTI,23.736,34.251,8.464,21.637,15.895,1.997,-8.75,28.779,-8.75,10.391,57.483
2002,ULTI,20.628,31.143,8.974,23.705,16.53,2.474,-14.568,30.364,-14.568,2.777,55.149
2003,ULTI,25.784,35.812,13.783,24.155,20.586,1.614,-9.169,31.022,-9.169,-8.69,60.416
2004,ULTI,38.583,52.546,22.869,27.648,22.491,2.329,-5.024,34.906,-5.024,0.28,72.028
2005,ULTI,55.805,69.581,32.153,31.468,23.528,3.559,3.425,40.561,3.425,5.397,88.603
2006,ULTI,65.835,93.53,30.981,44.203,24.393,3.627,4.133,51.665,4.133,15.43,114.811
2007,ULTI,82.557,135.156,34.582,57.965,24.767,4.885,33.129,60.769,33.129,29.14,151.464
2008,ULTI,86.714,147.257,23.005,71.521,24.263,3.873,-2.897,82.805,-2.897,25.775,178.572
2009,ULTI,110.495,171.13,31.763,75.685,24.635,3.607,-1.142,100.885,-1.142,23.473,196.579
2010,ULTI,190.265,249.557,49.773,87.359,25.432,4.957,3.01,162.991,2.157,25.416,227.811
2011,ULTI,252.8,318.82,53.733,104.751,26.262,4.869,4.282,222.624,4.282,28.411,269.198
2012,ULTI,447.142,525.284,68.04,130.841,27.343,10.349,14.632,399.599,14.632,41.663,332.268
2013,ULTI,466.768,598.194,88.476,152.862,28.078,8.046,25.53,402.588,25.53,74.212,410.397
2014,ULTI,1011.218,1190.298,116.16,185.515,28.506,7.981,44.737,911.22,44.737,80.588,505.936
2015,ULTI,1221.206,1465.569,120.105,217.831,28.793,8.553,22.699,1120.539,22.699,110.839,618.081
2016,ULTI,779.747,1152.581,89.314,274.126,29.345,9.041,30.253,707.64,30.253,159.521,781.291
2017,ULTI,990.772,1377.211,165.119,322.774,30.13,9.951,14.055,843.086,14.055,213.985,940.729
2000,MSTR,154.873,259.087,94.654,71.571,80.769,0,-261.306,112.257,-261.306,-87.806,223.93
2001,MSTR,67.935,103.632,39.752,33.943,91.922,0,-48.054,91.114,-80.868,-27.501,180.416
