fyear,tic,ACT,AT,C&E,COGS,SHARE,TD,IB,CL,NI,CFO,REVT
2000,AAPL,5427,6803,4027,5733,335.677,300,786,1933,786,826,7983
2001,AAPL,5143,6021,4336,4026,350.922,317,-37,1518,-25,185,5363
2002,AAPL,5388,6298,4337,4021,358.959,316,65,1658,65,89,5742
2003,AAPL,5887,6815,4566,4387.2,366.727,304,68,2357,69,289,6207
2004,AAPL,7055,8050,5464,5870.5,391.444,0,276,2680,276,934,8279
2005,AAPL,10300,11551,8261,9722.3,835.019,0,1335,3484,1335,2535,13931
2006,AAPL,14509,17205,10110,13507.2,855.263,0,1989,6471,1989,2220,19315
2007,AAPL,21956,25347,15386,15555,872.329,0,3496,9299,3496,5470,24006
2008,AAPL,34690,39572,24490,20898,888.326,0,4834,14092,4834,9596,32479
2009,AAPL,31555,47501,23464,24999,899.806,0,8235,11506,8235,10159,42905
2010,AAPL,41678,75183,25620,38609,915.97,0,14013,20722,14013,18595,65225
2011,AAPL,44988,116371,25952,62609,929.277,0,25922,27970,25922,37529,108249
2012,AAPL,57653,176064,29129,84641,939.208,0,41733,38542,41733,50856,156508
2013,AAPL,73286,207000,40546,99849,899.213,16960,37037,43658,37037,53666,170910
2014,AAPL,68531,231839,25077,104312,5866.161,28987,39510,63448,39510,59713,182795
2015,AAPL,89378,290479,41601,129589,5578.753,55963,53394,80610,53394,81266,233715
2016,AAPL,106869,321686,67155,121576,5336.166,78927,45687,79006,45687,65824,215091
2017,AAPL,128645,375319,74181,131648,5126.201,103703,48351,100814,48351,63598,229234
2000,AMAT,8839.147,10545.73,4228.039,4340.214,812.462,584.747,2063.552,2759.711,2063.552,1651.815,9564.412
2001,AMAT,7782.174,9828.51,4841.392,3704.244,815.77,569.612,775.228,1532.816,507.829,1580.304,7343.248
2002,AMAT,8072.793,10224.765,4929.526,2618.125,1648.028,583.306,269.004,1501.456,269.004,492.138,5062.312
2003,AMAT,8370.773,10311.622,5493.206,2348.777,1677.4,561.714,-149.147,1640.877,-149.147,801.754,4477.291
2004,AMAT,10281.519,12093.445,6577.996,3956.27,1680.264,456.3,1351.303,2287.981,1351.303,1627.271,8013.053
2005,AMAT,9448.683,11269.157,5935.341,3605.516,1606.694,414.954,1209.9,1765.414,1209.9,1247.14,6991.823
2006,AMAT,6081.019,9480.837,1897.338,4604.799,1391.73,407.243,1516.663,2436.045,1516.663,1935.727,9167.014
2007,AMAT,6605.624,10654.075,2369.579,4908.016,1385.711,204.842,1710.196,2373.423,1710.196,2209.296,9734.856
2008,AMAT,6664.157,11006.318,2100.668,4364.925,1330.761,202.644,960.746,2945.552,960.746,1710.468,8129.24
2009,AMAT,5688.947,9574.243,2214.73,3291.599,1340.917,201.894,-305.327,1939.457,-305.327,332.665,5013.607
2010,AMAT,6765.315,10943.345,2584.582,5529.15,1327.998,205.529,937.866,2887.876,937.866,1722.853,9548.667
2011,AMAT,10355,13861,6243,5927,1306,1947,1926,2794,1926,2426,10517
2012,AMAT,5102,12102,1937,4934,1197,1946,109,2265,109,1851,8719
2013,AMAT,5642,12043,1891,4134,1204,1946,256,2443,256,623,7509
2014,AMAT,6967,13174,3162,4878,1221,1947,1072,2823,1072,1800,9072
2015,AMAT,9261,15308,4965,5326,1160,3742,1377,3798,1377,1163,9659
2016,AMAT,8353,14588,3749,5949,1078,3143,1721,3632,1721,2466,10825
2017,AMAT,12918,19419,7276,7618,1060,5304,3434,4115,3434,3609,14537
2000,ALOT,29.653,41.059,6.169,29.121,4.23,0.072,0.302,7.745,0.302,-2.592,51.688
2001,ALOT,27.557,38.404,5.911,28.643,4.267,0.025,-0.233,6.102,-0.233,1.281,49.391
2002,ALOT,24.954,35.21,7.336,29.501,4.27,0.008,-1.882,6.129,-1.882,2.68,48.973
2003,ALOT,32.017,42.065,12.677,31.543,4.746,0,3.217,7.518,3.217,4.445,55.781
2004,ALOT,36.726,47.039,13.983,31.7,5.278,0,2.71,7.458,2.71,3.368,55.975
2005,ALOT,39.662,49.647,14.724,33.434,5.318,0,2.551,8.44,2.551,2.407,59.301
2006,ALOT,44.168,58.001,16.929,37.131,6.781,0,6.059,9.874,6.059,2.383,65.519
2007,ALOT,48.384,61.699,17.556,39.674,6.874,0,4.31,8.973,4.31,2.712,72.371
2008,ALOT,48.023,62.155,21.214,39.309,7.026,0,2.964,7.904,2.964,6.955,71.783
2009,ALOT,49.868,64.676,23.76,35.936,7.157,0,2.766,8.158,2.766,5.85,64.031
2010,ALOT,49.7,64.999,20.63,40.773,7.245,0,2.062,7.503,2.062,1.11,71.016
2011,ALOT,52.478,67.062,23.039,45.9,7.414,0,3.132,8.272,3.132,5.472,79.193
2012,ALOT,70.122,79.913,41.308,36.165,7.369,0,2.038,13.525,10.767,3.863,61.224
2013,ALOT,65.034,77.964,28.907,40.108,7.561,0,1.237,9.892,3.212,-3.567,68.592
2014,ALOT,61.918,74.33,23.132,49.307,7.251,0,4.662,9.569,4.662,1.491,88.347
2015,ALOT,54.514,77.963,20.419,54.435,7.342,0,4.525,9.548,4.525,7.727,94.658
2016,ALOT,61.423,83.665,24.821,56.528,7.46,0,4.228,11.985,4.228,6.953,98.448
2017,ALOT,63.78,122.313,11.688,64.805,6.768,23.146,3.286,25.912,3.286,3.724,113.401
2000,CSPI,27.611,37.056,13.073,43.111,3.578,0,0.675,6.002,0.675,2.678,62.021
2001,CSPI,26.634,32.349,13.728,31.051,3.514,0,-2.885,4.706,-2.885,-1.858,41.916
2002,CSPI,22.293,25.762,15.826,18.941,3.524,0,-5.663,4.081,-5.663,1.496,28.111
2003,CSPI,20.532,26.425,10.494,22.55,3.538,0,-1.384,6.483,-1.384,-2.557,32.515
2004,CSPI,24.676,31.113,12.895,37.146,3.57,0,1.211,9.253,1.211,1.898,52.824
2005,CSPI,24.252,30.944,12.727,42.437,3.671,0,0.77,7.581,0.753,-0.101,57.49
2006,CSPI,31.615,38.45,10.856,53.012,3.716,0,1.975,12.016,1.975,-2.075,68.937
2007,CSPI,39.97,46.441,21.377,70.028,3.812,0,4.049,13.86,4.049,9.404,94.038
2008,CSPI,41.348,50.019,18.494,62.216,3.758,0.091,-0.407,17.775,-0.407,-0.28,76.782
2009,CSPI,35.866,40.486,18.904,67.559,3.542,0.064,-3.783,13.157,-3.783,3.365,83.357
2010,CSPI,35.951,41.379,15.531,77.009,3.52,0.079,0.914,13.948,0.914,-1.931,95.018
2011,CSPI,37.878,43.108,15.874,56.793,3.417,0.024,0.369,15.87,0.369,1.543,73.645
2012,CSPI,44.706,51.066,20.493,63.926,3.399,0.013,6.609,18.168,6.609,6.306,84.807
2013,CSPI,40.918,47.225,18.619,68.516,3.496,0,0.368,15.125,0.368,0.227,87.619
2014,CSPI,39.446,46.307,16.448,63.164,3.619,0,1.334,14.511,1.334,1.123,84.619
2015,CSPI,40.082,46.996,11.181,69.473,3.688,0,-0.21,17.382,-0.21,-2.34,89.306
2016,CSPI,41.817,48.707,13.103,77.627,3.821,0,2.604,17.383,2.604,5.004,103.367
2017,CSPI,51.719,58.928,13.885,85.319,3.935,0,2.506,26.023,2.506,2.659,111.482
2000,CAMP,35.523,49.812,10.009,94.224,13.602,5.144,5.209,15.032,5.209,7.509,124.979
2001,CAMP,45.739,56.688,23.156,73.517,13.63,4.545,2.874,15.48,4.464,12.313,100.715
2002,CAMP,53.092,89.597,22.034,75.842,14.745,15.574,5.16,18.405,5.16,5.479,100.044
2003,CAMP,67.365,97.642,22.909,106.569,14.91,11.293,5.714,24.589,5.714,5.094,128.616
2004,CAMP,88.534,196.755,31.048,175.911,22.488,10.576,8.076,29.662,8.076,12.536,220.027
2005,CAMP,99.236,204.346,45.783,162.146,22.979,7.679,14.562,21.873,14.562,22.38,217.493
2006,CAMP,113.524,229.703,37.537,170.153,23.595,34.258,-31.188,38.637,-31.188,16.723,222.339
2007,CAMP,66.767,143.041,6.588,119.149,25.041,32.53,-82.35,40.059,-84.149,-1.476,140.907
2008,CAMP,44.175,69.647,6.913,67.124,25.217,21.078,-49.665,45.458,-49.665,13.76,98.37
2009,CAMP,37.49,56.953,2.986,88.568,27.662,10.071,-10.851,33.095,-10.851,2.472,112.113
2010,CAMP,38.103,55.485,4.241,83.364,28.147,4.46,-3.283,32.869,-3.283,0.857,114.333
2011,CAMP,39.789,51.481,5.601,95.189,28.722,3,5.218,23.601,5.218,12.432,138.728
2012,CAMP,106.769,150.771,63.101,122.665,35.041,4.695,44.626,28.949,44.626,16.597,180.579
2013,CAMP,92.241,179.265,27.733,154.15,35.859,1.858,11.803,42.118,11.803,22.816,235.903
2014,CAMP,127.421,202.617,44.361,160.406,36.225,0.688,16.508,47.005,16.508,28.645,250.606
2015,CAMP,298.767,384.363,228.106,174.178,36.667,139.8,16.94,49.565,16.94,47.4,280.719
2016,CAMP,206.705,408.139,100.428,195.003,35.33,146.827,-7.904,77.841,-7.904,25.796,351.102
2017,CAMP,275.885,472.993,156.003,207.025,35.718,154.299,16.617,95.529,16.617,66.894,365.912
2000,IDTI,955.217,1470.401,678.329,315.536,104.916,40.344,415.203,254.486,415.203,480.592,991.789
2001,IDTI,887.375,1225.819,674.4,158.986,104.396,14.979,-46.192,125.137,-46.192,-27.897,379.817
2002,IDTI,665.545,881.312,554.825,144.437,103.693,9.731,-277.896,103.025,-277.896,11.656,343.878
2003,IDTI,706.151,905.553,608.214,130.673,105.957,5.551,6.396,110.391,6.396,78.654,345.443
2004,IDTI,682.804,902.14,581.233,134.711,106.136,0,13.333,99.425,13.333,80.942,390.64
2005,IDTI,470.002,2037.691,295.973,160.863,198.389,0,-81.708,147.638,-81.708,122.512,527.778
2006,IDTI,560.787,2030.779,359.933,263.849,196.263,0,-7.578,155.085,-7.578,216.549,803.596
2007,IDTI,431.754,1781.837,239.191,347.813,171.282,0,34.179,114.3,34.179,186.73,781.467
2008,IDTI,442.266,678.367,296.073,305.202,165.298,0,-1045.167,82.858,-1045.167,143.775,663.245
2009,IDTI,487.908,750.945,343.189,262.849,162.878,0,40.019,106.701,40.019,52.062,535.906
2010,IDTI,471.96,727.46,299.192,253.549,148.352,0,72.627,110.645,72.627,74.391,625.705
2011,IDTI,481.532,717.634,325.459,205.949,142.194,0,37.323,79.494,58.46,33.777,526.696
2012,IDTI,440.505,728.579,297.17,175.932,146.253,0,-15.924,74.525,-20.172,44.074,487.236
2013,IDTI,585.375,830.96,453.815,166.111,149.996,0,111.313,76.662,88.364,75.629,484.779
2014,IDTI,680.129,913.659,555.06,199.708,148.414,0,114.581,106.332,93.909,171.772,572.905
2015,IDTI,498.101,1099.189,354.464,235.894,133.885,272.221,195.299,107.107,194.737,192.602,697.376
2016,IDTI,560.7,1183.634,406.046,256.046,133.175,285.541,109.184,90.834,110.482,168.974,728.243
2017,IDTI,549.114,1310.531,358.899,271.419,129.531,492.624,-12.136,113.596,-12.136,232.176,842.764
2000,INS,6.678,18.057,0.594,2.66,5.624,0,8.215,3.383,8.215,-0.41,7.027
2001,INS,15.647,26.089,12.026,3.54,4.496,0,9.113,5.441,9.113,-2.017,8.718
2002,INS,6.758,17.86,2.644,5.881,4.492,0,-12.257,5.268,-12.257,-9.081,10.741
2003,INS,4.198,13.742,1.133,5.925,4.479,0,-4.798,6.096,-4.798,-5.448,13.334
2004,INS,4.471,12.904,0.67,8.278,4.479,0,2.563,7.509,2.563,-3.982,22.332
2005,INS,3.33,11.437,0.378,6.424,4.479,0,-1.626,7.667,-1.626,-2.231,16.097
2006,INS,9.563,15.01,2.136,6.749,4.479,0.345,-1.004,6.714,4.469,-2.928,14.46
2007,INS,6.874,12.622,0.554,9.918,4.479,0.201,-3.724,6.999,-2.424,-4.175,19.005
2008,INS,4.328,8.706,1.074,7.712,4.479,0.1,-3.186,3.697,-0.823,-3.762,15.8
2009,INS,6.33,10.034,2.795,6.213,8.958,0,-1.171,3.325,-1.213,-0.935,12.866
2010,INS,7.006,10.091,2.942,7.574,8.958,0,0.158,3.423,-0.187,0.581,15.443
2011,INS,7.222,10.105,3.361,7.827,8.958,0,1.057,2.868,1.057,0.397,16.324
2012,INS,7.126,9.936,2.617,8.449,8.958,0,0.534,2.821,0.534,-0.285,16.53
2013,INS,7.644,10.627,3.784,8.189,8.958,0,1.084,2.71,1.084,1.535,16.318
2014,INS,6.415,9.205,3.087,7.453,8.958,0,-0.176,2.206,-0.076,-0.581,14.586
2015,INS,24.463,26.173,20.655,2.333,8.731,0,-0.779,2.791,18.02,-2.255,4.782
2016,INS,20.631,22.704,18.142,3.73,8.743,0,-1.112,3.671,-1.112,-1.377,8.178
2017,INS,18.059,21.779,14.462,4.165,8.778,0,0.473,2.275,0.473,-2.467,9.302
2000,KTCC,68.786,95.815,1.013,143.565,9.641,0,-5.333,31.658,-5.333,3.256,164.353
2001,KTCC,52.55,74.371,2.137,152.423,9.673,0,-11.373,29.664,-11.373,7.481,165.865
2002,KTCC,43.446,57.439,1.485,156.209,9.673,6.703,-25.362,20.905,-25.362,0.919,175.591
2003,KTCC,44.235,59.125,0.956,112.998,9.673,10.594,13.409,22.452,13.409,-0.544,130.894
2004,KTCC,54.72,67.938,0.6,133.182,9.676,11.243,0.11,31.252,0.11,-0.017,148.901
2005,KTCC,58.848,72.901,1.463,184.051,9.694,7.48,4.376,35.842,4.376,5.114,202.877
2006,KTCC,71.185,88.695,2.428,168.505,9.75,11.211,9.753,39.482,9.753,-0.034,187.699
2007,KTCC,72.647,89.388,3.386,181.824,9.921,13.636,5.23,31.425,5.23,-1.857,201.712
2008,KTCC,81.717,98.344,2.879,185.534,10.024,12.821,5.584,36.022,5.584,-0.718,204.122
2009,KTCC,61.055,77.755,0.729,170.149,10.066,2.584,1.063,23.611,1.063,10.038,184.924
2010,KTCC,82.697,101.642,0.77,178.576,10.264,1.554,8.69,37.989,8.69,3.697,199.62
2011,KTCC,92.15,116.539,1.232,230.986,10.399,6,5.736,33.843,5.736,-2.569,253.846
2012,KTCC,129.49,150.912,0.502,314.306,10.481,15.011,11.626,53.254,11.626,-5.066,346.475
2013,KTCC,111.767,135.13,10.819,323.556,10.502,0.576,12.583,37.94,12.583,29.282,361.033
2014,KTCC,123.216,156.66,5.803,274.711,10.547,7.853,7.613,52.167,7.613,1.458,305.394
2015,KTCC,185.107,230.794,0.372,394.782,10.706,42.881,4.304,86.789,4.304,7.667,433.997
2016,KTCC,181.459,235.924,1.018,439.978,10.725,44.323,6.533,84.11,6.533,4.58,484.965
2017,KTCC,178.193,232.84,0.373,422.265,10.76,42.949,5.617,77.753,5.617,9.425,467.797
2000,LRCX,1021.335,1244.837,371.722,645.146,124.56,329.289,204.756,287.756,204.756,119.85,1230.767
2001,LRCX,1576.606,1871.775,864.559,803.594,126.015,668.681,141.137,499.684,52.106,261.287,1519.789
2002,LRCX,1355.424,1632.291,874.205,574.505,125.193,674.982,-90.051,597.544,-90.051,21.797,943.114
2003,LRCX,872.776,1198.275,507.413,413.616,127.435,337.22,-7.739,216.982,-7.739,69.242,755.234
2004,LRCX,896.388,1198.626,429.472,480.705,134.988,2.5,82.988,376.606,82.988,157.149,935.946
2005,LRCX,1244.836,1448.815,809.253,714.694,137.313,0,299.341,379.133,299.341,425.93,1502.453
2006,LRCX,1706.369,2313.344,1050.339,792.777,141.785,350,335.755,566.226,335.755,360.687,1642.171
2007,LRCX,1416.361,2101.605,670.691,1223.425,123.535,250,685.816,672.798,685.816,823.559,2566.576
2008,LRCX,1917.707,2806.755,1058.736,1234.191,125.187,306.33,439.349,637.679,439.349,590.319,2474.911
2009,LRCX,1195.827,1951.871,579.388,633.802,126.532,46.234,-302.148,340.763,-302.148,-78.129,1115.946
2010,LRCX,1756.661,2487.392,826.457,1089.002,125.946,22.612,346.669,558.657,346.669,350.713,2133.776
2011,LRCX,3276.792,4057.394,2122.247,1665.702,123.579,743.27,723.748,684.286,723.748,881.028,3237.693
2012,LRCX,4415.109,8004.652,2862.683,1472.894,186.656,1272.922,168.723,1426.928,168.723,499.028,2665.192
2013,LRCX,3793.829,7250.315,2497.218,1862.657,162.873,1303.911,113.879,1404.475,113.879,719.933,3598.916
2014,LRCX,4783.662,7993.306,3065.644,2362.118,162.35,1335.469,632.289,1582.001,632.289,717.049,4607.309
2015,LRCX,6270.849,9364.648,4076.486,2682.034,158.531,2361.032,655.577,2631.361,655.577,785.503,5259.312
2016,LRCX,9214.911,12271.528,6827.934,2974.795,160.201,4333.075,914.049,2419.802,914.049,1350.277,5885.893
2017,LRCX,9142.498,12122.765,6041.162,4161.561,161.723,2693.413,1697.763,2950.115,1697.763,2029.282,8013.62
2000,VECO,342.235,423.283,90.315,216.023,24.663,16.062,0.502,121.772,-17.88,10.312,386.668
2001,VECO,462.49,755.519,203.154,233.363,29.007,219.063,14.882,104.467,10.309,21.743,449.251
2002,VECO,419.263,606.818,214.295,168.436,29.221,230.585,-123.384,68.157,-123.73,-2.157,298.885
2003,VECO,314.858,596.464,106.83,141.249,29.514,230.268,-9.747,57.392,-9.747,21.77,279.321
2004,VECO,308.968,576.913,100.276,225.887,29.848,229.935,-62.555,92.166,-62.555,0.999,390.443
2005,VECO,315.143,567.86,124.499,222.862,30.06,229.58,-0.897,85.493,-0.897,44.91,410.19
2006,VECO,345.933,589.6,147.046,232.875,31.119,209.204,14.917,97.873,14.917,46.015,441.034
2007,VECO,302.434,529.334,117.083,241.614,31.824,146.585,-17.359,127.918,-17.359,39.185,402.475
2008,VECO,266.998,429.541,103.799,262.568,32.188,108.865,-71.063,98.47,-71.063,44.264,442.809
2009,VECO,456.435,605.372,283.589,223.125,39.003,101.176,-15.567,139.118,-15.567,57.849,380.149
2010,VECO,1022.573,1148.034,715.427,486.282,40.338,104.021,260.531,382.434,361.76,194.214,933.231
2011,VECO,754.544,936.063,492.09,501.335,38.768,2.654,190.502,167.468,127.987,115.442,979.135
2012,VECO,744.484,937.304,578.808,289.603,39.329,2.406,26.529,112.287,30.928,111.963,516.02
2013,VECO,613.643,947.969,495.075,215.709,39.666,2.137,-42.263,128.191,-42.263,0.727,331.749
2014,VECO,555.662,929.455,391.922,241.389,40.36,1.847,-66.94,168.408,-66.94,42.069,392.873
2015,VECO,542.135,890.789,385.282,286.27,40.527,1.533,-31.978,162.231,-31.978,15.789,477.038
2016,VECO,501.508,758.532,344.231,186.162,40.588,1.194,-122.21,143.509,-122.21,-23.844,332.451
2017,VECO,596.992,1387.287,328.363,276.174,48.144,275.63,-44.793,223.456,-44.793,34.146,484.756
2000,JKHY,104,321.082,6.132,111.711,41.358,0.443,34.35,151.14,34.018,49.824,225.3
2001,JKHY,172.05,433.121,19.574,171.983,88.847,0.315,55.631,107.018,55.631,72.822,345.468
2002,JKHY,179.977,486.142,18.762,207.967,88.951,0,57.065,112.656,57.065,89.941,396.657
2003,JKHY,217.262,548.575,33.012,222.48,88.157,0,49.397,146.78,49.397,98.861,404.627
2004,JKHY,259.058,653.614,54.756,247.615,90.204,0,62.315,173.24,62.315,112.809,467.415
2005,JKHY,260.293,814.153,12.601,274.502,91.498,0,75.501,246.583,75.501,108.275,535.863
2006,JKHY,306.41,906.067,76.32,291.984,91.19,0.857,89.923,263.492,89.923,169.438,592.205
2007,JKHY,350.385,999.34,89.606,330.93,89.102,0.846,104.681,330.477,104.681,174.247,668.062
2008,JKHY,329.757,1021.044,66.562,373.694,86.401,0.201,105.287,341.175,104.222,181.001,742.926
2009,JKHY,359.646,1050.7,119.251,382.047,83.614,3.461,103.102,344.407,103.102,206.588,745.593
2010,JKHY,393.102,1564.146,126.518,419.958,85.402,277.933,117.87,446.985,117.87,218.698,836.586
2011,JKHY,353.95,1505.797,64.125,477.049,86.36,154.031,137.471,380.511,137.471,240.132,966.897
2012,JKHY,468.649,1619.492,157.313,508.76,86.03,131.669,154.984,402.243,154.984,264.55,1027.109
2013,JKHY,447.885,1629.155,127.905,552.053,85.24,15.295,176.645,412.258,176.645,309.174,1129.386
2014,JKHY,390.506,1680.703,70.377,571.601,82.635,9.136,186.715,446.809,186.715,341.659,1173.173
2015,JKHY,493.499,1836.835,148.313,601.34,80.852,52.697,211.221,443.611,211.221,373.79,1256.19
2016,JKHY,431.929,1815.512,70.31,644.003,78.695,0.2,248.867,443.732,248.867,365.116,1354.646
2017,JKHY,520.031,1908.945,114.765,675.973,77.423,50,245.793,471.192,245.793,357.322,1431.117
2000,MSFT,30308,52150,23798,2334,5283,0,9421,9755,9421,13961,22956
2001,MSFT,39637,59257,31600,1919,5383,0,7721,11132,7346,13422,25296
2002,MSFT,48576,67646,38652,4177,5359,0,7829,12744,7829,14509,28365
2003,MSFT,58973,79571,49048,4596,10771,0,9993,13974,9993,15797,32187
2004,MSFT,70566,92389,60592,5899,10862,0,8168,14969,8168,14626,36835
2005,MSFT,48737,70815,37751,5316,10710,,12254,16877,12254,16605,39788
2006,MSFT,49010,69597,34161,6660,10062,0,12599,22442,12599,14404,44282
2007,MSFT,40168,63171,23411,9287,9380,0,14065,23754,14065,17796,51122
2008,MSFT,43242,72793,23662,9726,9151,1,17681,29886,17681,21612,60420
2009,MSFT,49280,77888,31447,9864,8908,3759,14569,27034,14569,19037,58437
2010,MSFT,55676,86113,36788,9888,8668,4939,18760,26147,18760,24073,62484
2011,MSFT,74918,108704,52772,13040,8376,11921,23150,28774,23150,26994,69943
2012,MSFT,85084,121271,63040,14772,8381,11944,16978,32688,16978,31626,73723
2013,MSFT,101466,142431,77022,16910,8328,15600,21863,37417,21863,28833,77849
2014,MSFT,114246,172384,85709,22689,8239,20645,22074,45625,22074,32231,86451
2015,MSFT,124712,176223,96526,27638,8027,30307,12193,49858,12193,29080,93580
2016,MSFT,139660,193694,113240,26902,7808,41569,16798,59357,16798,33325,85320
2017,MSFT,159851,241086,132981,26461,7708,79635,21204,64527,21204,39507,89950
2000,ORCL,8963.15,11030.16,5887.661,2449.144,5592.361,301.381,2561.096,3916.619,2561.096,2179.118,10859.672
2001,ORCL,8728,10800,5841,2043,5431,298,2224,3960,2224,3243,9673
2002,ORCL,9227,11064,6519,2015,5233,328,2307,4158,2307,3023,9475
2003,ORCL,11336,12763,8587,2083,5171,172,2681,4272,2681,3177,10156
2004,ORCL,8479,20687,4802,2445,5145,159,2886,8063,2886,3552,11799
2005,ORCL,11974,29029,7605,3012,5232,5894,3381,6930,3381,4541,14380
2006,ORCL,12883,34572,7020,3942,5107,6238,4274,9387,4274,5520,17996
2007,ORCL,18103,47268,11043,4713,5150,10236,5521,10029,5521,7402,22430
2008,ORCL,18581,47416,12624,4531,5005,9238,5593,9149,5593,8255,23252
2009,ORCL,27004,61578,18469,5466,5026,14655,6135,14691,6135,8681,26820
2010,ORCL,39174,73535,28848,8030,5068,14772,8547,14192,8547,11214,35622
2011,ORCL,40023,78327,30676,7372,4905,14774,9981,15388,9981,13743,37121
2012,ORCL,41692,81812,32216,6567,4646,18494,10925,12872,10925,14224,37180
2013,ORCL,48138,90344,38819,6628,4464,24175,10955,14389,10955,14921,38275
2014,ORCL,63183,110903,54368,6820,4343,41958,9938,15291,9938,14336,38226
2015,ORCL,64313,112180,56125,6608,4131,43855,8901,17208,8901,13561,37047
2016,ORCL,74515,134991,66078,6469,4137,57909,9335,24178,9335,14126,37728
2017,ORCL,75964,137264,67261,6916,3997,60619,3825,19195,3825,15386,39831
2000,TECD,4066.268,4615.545,138.925,19277.79,53.796,321.302,177.983,3098.985,177.983,-99.385,20427.679
2001,TECD,2971.53,3458.33,257.927,16217.598,55.454,613.427,110.777,1585.61,110.777,976.63,17197.511
2002,TECD,2978.118,3248.018,157.191,14867.838,56.484,315.901,-199.818,1578.835,-199.818,125.049,15738.945
2003,TECD,3680.304,4167.886,108.801,16387.31,57.717,317.192,104.147,2154.872,104.147,303.234,17406.34
2004,TECD,4056.489,4557.736,195.056,18642.801,58.984,308.84,162.46,2567.872,162.46,106.945,19790.333
2005,TECD,3983.459,4404.634,156.665,19429.732,56.191,15.983,22.967,2591.351,26.586,257.439,20482.851
2006,TECD,4407.852,4703.864,265.006,20380.394,54.926,365.98,-100.927,2591.288,-96.981,-13.988,21440.445
2007,TECD,4922.982,5220.935,447.34,22234.789,52.792,364.882,108.269,2878.564,108.269,357.422,23423.078
2008,TECD,4771.797,5023.754,528.023,22816.254,50.024,361.767,123.626,2879.9,123.626,279.81,24080.484
2009,TECD,5643.572,5902.087,1116.579,20897.208,51.463,338.633,180.155,3393.142,180.155,543.93,22099.876
2010,TECD,6123.146,6488.292,839.934,23045.4,46.722,401.58,214.243,4221.035,214.243,103.843,24375.973
2011,TECD,5381.902,5785.418,505.178,25036.801,41.072,57.758,206.396,3642.579,206.396,503.412,26488.124
2012,TECD,6145.425,6830.96,340.564,23996.922,37.803,355.005,176.255,4444.94,176.255,120.753,25358.329
2013,TECD,6469.035,7169.666,570.101,25386.579,38.062,354.688,179.932,4617.588,179.932,379.148,26821.904
2014,TECD,5578.123,6138.246,542.995,26207.932,37.38,353.552,175.172,3743.126,175.172,119.381,27670.632
2015,TECD,5822.061,6358.288,531.169,25035.869,35.083,348.608,265.736,3932.646,265.736,188.993,26379.783
2016,TECD,7412.326,7931.866,2125.591,24878.512,35.227,1339.367,195.095,4710.854,195.095,656.843,26234.876
2017,TECD,10092.69,12652.636,955.628,34509.344,38.162,1518.083,116.641,7997.117,116.641,1097.069,36775.011
2000,CY,1282.786,2361.754,884.601,419.428,125.659,570.5,277.308,299.427,277.308,529.715,1287.787
2001,CY,626.835,1886.436,205.422,303.264,121.495,517.7,-411.757,254.502,-407.412,95.148,819.192
2002,CY,513.947,1572.648,127.937,232.612,123.743,468.9,-249.098,199.76,-249.098,22.492,774.746
2003,CY,518.395,1567.497,198.617,303.718,120.483,691.327,-5.331,210.679,-5.331,99.152,836.756
2004,CY,563.88,1572.994,244.897,357.918,128.493,613.922,24.698,233.61,24.698,155.793,948.438
2005,CY,646.607,1697.874,330.308,407.183,137.036,606.086,-92.153,211.497,-92.153,81.018,886.396
2006,CY,952.628,2123.525,580.174,518.72,144.844,598.996,39.482,275.839,39.482,127.26,1091.553
2007,CY,2067.539,3725.949,1426.405,935.166,161.648,0,394.3,1494.547,394.3,128.479,1596.387
2008,CY,512.379,935.645,237.792,356.673,136.503,27.999,-462.136,264.958,-430.251,218.562,765.716
2009,CY,518.705,912.508,299.642,345.209,159.382,0,-150.424,239.062,-150.424,89.303,667.786
2010,CY,695.658,1072.801,434.261,332.609,170.753,0,75.742,312.289,75.742,262.746,877.532
2011,CY,405.65,810.09,166.33,397.991,154.174,29.377,167.839,326.46,167.839,283.808,995.204
2012,CY,368.808,831.629,117.21,330.037,144.224,261.109,-22.37,348.748,-22.37,134.997,769.687
2013,CY,319.713,765.836,104.462,318.756,153.172,248.23,-46.364,305.842,-46.364,67.568,722.693
2014,CY,312.311,743.281,118.812,321.769,163.013,243.25,17.936,274.832,17.936,103.336,725.497
2015,CY,850.772,4004.261,231.291,967.273,332.276,688.265,-378.867,528.396,-378.867,8.801,1607.853
2016,CY,893.943,3871.871,125.35,1115.606,323.583,1225.131,-686.251,702.457,-686.251,217.419,1923.108
2017,CY,823.351,3537.05,152.592,1291.615,352.22,983.816,-80.915,675.497,-80.915,403.487,2327.771
2000,ADBE,877.912,1069.416,679.853,808.921,240.946,0,287.808,314.605,287.808,444.626,1266.378
2001,ADBE,767.364,930.623,581.613,39.087,236.019,0,205.644,313.651,205.644,418.702,1229.72
2002,ADBE,814.172,1051.61,617.737,48.68,231.955,0,191.399,377.289,191.399,329.331,1164.788
2003,ADBE,1329.028,1555.045,1096.533,44.008,238.3,0,266.344,436.53,266.344,433.136,1294.749
2004,ADBE,1551.029,1958.632,1313.221,43.57,242.187,0,450.398,451.408,450.398,683.744,1666.581
2005,ADBE,2008.578,2440.315,1700.834,48.243,488.729,0,602.839,480.395,602.839,730.353,1966.321
